WKT,id,name,alt_name,latitude,longitude
"POINT (97.0253 4.36855)",11.0,ACEH,ACEH,4.36855,97.0253
"POINT (99.38122 2.19235)",12.0,SUMATERA UTARA,SUMATERA UTARA,2.19235,99.38122
"POINT (100.4331593 -0.9632929)",13.0,SUMATERA BARAT,SUMATERA BARAT,-0.9632929,100.4331593
"POINT (101.54758 0.50041)",14.0,RIAU,RIAU,0.50041,101.54758
"POINT (102.7797 -1.61157)",15.0,JAMBI,JAMBI,-1.61157,102.7797
"POINT (104.09306 -3.12668)",16.0,SUMATERA SELATAN,SUMATERA SELATAN,-3.12668,104.09306
"POINT (102.53598 -3.51868)",17.0,BENGKULU,BENGKULU,-3.51868,102.53598
"POINT (105.0273 -4.8555)",18.0,LAMPUNG,LAMPUNG,-4.8555,105.0273
"POINT (107.58394 -2.75775)",19.0,KEPULAUAN BANGKA BELITUNG,KEPULAUAN BANGKA BELITUNG,-2.75775,107.58394
"POINT (104.58037 -0.15478)",21.0,KEPULAUAN RIAU,KEPULAUAN RIAU,-0.15478,104.58037
